yORF	gene_name	GFP_tagged	GFP_visualized	TAP_visualized	abundance	error	localization_summary	ambiguous	mitochondrion	vacuole	spindle_pole	cell_periphery	punctate_composite	vacuolar_membrane	ER	nuclear_periphery	endosome	bud_neck	microtubule	Golgi	late_Golgi	peroxisome	actin	nucleolus	cytoplasm	ER_to_Golgi	early_Golgi	lipid_particle	nucleus	bud
YAL001C	TFC3	tagged	visualized	TAP visualized	125	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL002W	VPS8	tagged	visualized	TAP visualized	736	NA	endosome	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL005C	SSA1	tagged	visualized	TAP visualized	269000	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL007C	ERP2	tagged	visualized	TAP visualized	26300	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL008W	FUN14	tagged	visualized	TAP visualized	1920	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL009W	SPO7	tagged	visualized	TAP visualized	861	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL010C	MDM10	tagged	visualized	TAP visualized	768	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL011W	SWC1	tagged	visualized	TAP visualized	1380	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL012W	CYS3	tagged	visualized	TAP visualized	38300	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL014C	SYN8	tagged	visualized	not TAP visualized	not visualized	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL015C	NTG1	tagged	visualized	TAP visualized	technical problem	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL016W	TPD3	tagged	visualized	TAP visualized	16900	NA	"cytoplasm,nucleus"	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F
YAL017W	PSK1	tagged	visualized	TAP visualized	967	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL019W	FUN30	tagged	visualized	TAP visualized	6800	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F
YAL021C	CCR4	tagged	visualized	TAP visualized	2780	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
YAL023C	PMT2	tagged	visualized	TAP visualized	6510	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
YAL024C	LTE1	tagged	visualized	TAP visualized	304	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F
