Gene	Ensembl.Gene.ID	Essential	Transcript.length	Strand	GC.content	Enzyme	SEG.low.complexity	Transmembrane.domain	Signal.peptide	Coiled.coil	Nucleus	Mitochondria	ER	Cytoplasm	Ribosome
AAR2	YBL074C	1	1068	-1	38.01	0	1	0	0	0	1	0	0	1	0
ABD1	YBR236C	1	1311	-1	38.75	1	1	0	0	0	1	0	0	0	0
ABF1	YKL112W	1	2196	1	39.62	0	1	0	0	1	1	0	0	0	0
ACC1	YNR016C	1	6702	-1	40.84	1	1	0	0	1	0	1	1	1	0
ACP1	YKL192C	1	378	-1	44.71	0	0	0	0	0	0	1	0	0	0
ACS2	YLR153C	1	2052	-1	42.25	1	0	0	0	0	1	0	0	1	0
ACT1	YFL039C	1	1128	-1	41.27	0	0	0	0	0	0	0	0	1	0
ADE13	YLR359W	1	1449	1	39.54	1	0	0	0	1	0	0	0	0	0
AFG2	YLR397C	1	2343	-1	42.04	0	1	0	0	0	0	0	0	1	1
ALA1	YOR335C	1	2877	-1	39.9	1	1	0	0	0	0	1	0	1	0
ALG1	YBR110W	1	1350	1	36.3	1	0	1	0	0	0	0	1	0	0
ALG13	YGL047W	1	609	1	42.53	1	0	0	0	0	1	0	1	1	0
ALG14	YBR070C	1	714	-1	39.36	0	0	1	0	0	1	0	1	0	0
ALG2	YGL065C	1	1512	-1	36.04	1	1	1	0	0	0	0	1	0	0
ALG7	YBR243C	1	1347	-1	40.68	1	1	1	0	0	0	0	1	0	0
ALR1	YOL130W	1	2580	1	41.78	0	1	1	0	0	0	0	0	0	0
AME1	YBR211C	1	975	-1	36.72	0	1	0	0	1	1	0	0	0	0
AOS1	YPR180W	1	1044	1	37.64	0	1	0	0	0	1	0	0	0	0
APC1	YNL172W	1	5247	1	38.63	0	1	0	0	1	1	0	0	1	0
APC11	YDL008W	1	498	1	42.97	1	0	0	0	0	0	0	0	0	0
APC2	YLR127C	1	2562	-1	34.74	0	1	0	0	0	1	0	0	1	0
APC4	YDR118W	1	1959	1	35.43	0	0	0	0	0	1	0	0	1	0
APC5	YOR249C	1	2058	-1	34.6	0	1	0	0	0	1	0	0	0	0
ARB1	YER036C	1	1833	-1	40.92	0	1	0	0	1	1	0	0	1	1
ARC15	YIL062C	1	465	-1	44.95	0	0	0	0	0	0	1	0	1	0
ARC19	YKL013C	1	516	-1	39.15	0	0	0	0	0	0	0	0	1	0
ARC35	YNR035C	1	1029	-1	41.98	0	0	0	0	1	0	0	0	1	0
ARC40	YBR234C	1	1155	-1	42.08	0	0	0	0	0	0	0	0	1	0
ARH1	YDR376W	1	1482	1	38.6	1	1	0	0	0	0	1	0	0	0
ARP2	YDL029W	1	1176	1	41.03	0	1	0	0	0	0	1	0	1	0
ARP3	YJR065C	1	1350	-1	42.15	0	1	0	0	0	0	0	0	1	0
ARP4	YJL081C	1	1470	-1	40.14	0	1	0	0	0	1	0	0	0	0
ARP7	YPR034W	1	1434	1	44.7	0	1	0	0	1	1	0	0	0	0
ARP9	YMR033W	1	1404	1	35.1	0	1	0	0	0	1	0	0	0	0
ASA1	YPR085C	1	1332	-1	37.61	0	1	0	0	0	1	0	0	0	0
ASK1	YKL052C	1	879	-1	46.3	0	1	0	0	0	1	0	0	1	0
ATM1	YMR301C	1	2073	-1	41.29	0	0	1	0	1	0	1	0	0	0
ATP16	YDL004W	1	483	1	39.75	0	1	0	0	0	0	1	0	0	0
AUR1	YKL004W	1	1206	1	40.71	1	1	1	0	0	0	0	0	0	0
AVO1	YOL078W	1	3531	1	38.32	0	1	0	0	0	0	0	0	1	0
BBP1	YPL255W	1	1158	1	40.24	0	1	0	0	1	1	0	0	1	0
BCD1	YHR040W	1	1101	1	47.32	0	1	0	0	0	1	0	0	1	0
BCP1	YDR361C	1	852	-1	36.97	0	1	0	0	0	1	0	0	1	0
BDP1	YNL039W	1	1785	1	39.44	0	1	0	0	1	1	0	0	0	0
BET1	YIL004C	1	429	-1	38.39	0	0	1	0	0	0	0	1	0	0
BET2	YPR176C	1	978	-1	40.08	1	0	0	0	0	0	0	0	0	0
BET3	YKR068C	1	582	-1	38.66	0	0	0	0	0	0	0	1	0	0
BET4	YJL031C	1	984	-1	34.64	1	0	0	0	0	0	0	0	0	0
BET5	YML077W	1	480	1	37.08	0	0	0	0	0	0	0	1	0	0
BFR2	YDR299W	1	1605	1	37.13	0	1	0	0	1	1	0	0	0	1
BIG1	YHR101C	1	1008	-1	36.53	0	1	1	1	0	0	0	1	0	0
BMS1	YPL217C	1	3552	-1	39.27	0	1	0	0	1	1	1	0	1	1
BOS1	YLR078C	1	735	-1	38.71	0	1	1	0	1	0	0	1	0	0
BPL1	YDL141W	1	2073	1	40.23	1	0	0	0	0	1	0	0	1	0
BRF1	YGR246C	1	1791	-1	40.03	0	1	0	0	1	1	0	0	0	0
BRL1	YHR036W	1	1416	1	40.54	0	1	1	0	0	1	0	1	0	0
BRN1	YBL097W	1	2265	1	37.79	0	1	0	0	1	1	0	0	1	0
BRR2	YER172C	1	6492	-1	37.14	1	1	0	0	1	1	0	0	1	0
BRR6	YGL247W	1	594	1	37.88	0	1	1	0	0	1	0	0	0	0
BRX1	YOL077C	1	876	-1	37.1	0	1	0	0	1	1	0	0	0	1
BUR6	YER159C	1	429	-1	43.59	0	1	0	0	0	1	0	0	0	0
CAB1	YDR531W	1	1104	1	37.59	1	1	0	0	0	1	0	0	1	0
CAB2	YIL083C	1	1098	-1	38.8	1	1	0	0	0	1	0	0	1	0
CAB3	YKL088W	1	1716	1	40.91	0	1	0	0	1	0	0	0	1	0
CAB4	YGR277C	1	918	-1	42.37	1	1	0	0	0	1	0	0	1	0
CAB5	YDR196C	1	726	-1	38.15	1	0	0	0	0	1	1	1	0	0
CAK1	YFL029C	1	1107	-1	41.46	1	1	0	0	0	0	0	0	1	0
CBF2	YGR140W	1	2871	1	36.15	0	1	0	1	0	1	0	0	1	0
CBF5	YLR175W	1	1452	1	39.74	1	1	0	0	1	1	0	0	1	1
CBK1	YNL161W	1	2271	1	40.16	1	1	0	0	1	1	0	0	1	0
CCA1	YER168C	1	1641	-1	37.9	1	0	0	0	0	1	1	0	1	0
CCL1	YPR025C	1	1182	-1	36.55	0	1	0	0	1	1	1	0	0	0
CCT2	YIL142W	1	1584	1	43.62	0	1	0	0	1	0	0	0	1	0
CCT3	YJL014W	1	1605	1	40.12	0	0	0	0	0	0	0	0	1	0
CCT4	YDL143W	1	1587	1	41.97	0	1	0	0	0	0	0	0	1	0
CCT5	YJR064W	1	1689	1	40.14	0	0	0	0	0	0	0	0	1	0
CCT6	YDR188W	1	1641	1	48.02	0	0	0	0	0	0	0	0	1	0
CCT7	YJL111W	1	1653	1	38.96	0	0	0	0	0	0	0	0	1	0
CCT8	YJL008C	1	1707	-1	40.77	0	1	0	0	0	0	0	0	1	0
CDC1	YDR182W	1	1476	1	37.87	1	1	1	0	0	0	0	1	0	0
CDC11	YJR076C	1	1248	-1	39.82	0	1	0	0	1	0	0	0	1	0
CDC12	YHR107C	1	1224	-1	41.5	0	1	0	0	1	0	0	0	1	0
CDC123	YLR215C	1	1083	-1	39.61	0	1	0	0	0	0	0	0	1	0
CDC13	YDL220C	1	2775	-1	43.93	0	1	0	0	0	1	0	0	1	0
CDC14	YFR028C	1	1656	-1	42.27	1	1	0	0	1	1	0	0	1	0
CDC15	YAR019C	1	2925	-1	40.1	1	1	0	0	0	0	0	0	1	0
CDC16	YKL022C	1	2523	-1	38.68	0	1	0	0	0	1	0	0	0	0
CDC19	YAL038W	1	1503	1	46.17	1	1	0	0	0	0	0	0	1	0
CDC20	YGL116W	1	1833	1	40.37	0	1	0	0	0	1	0	0	1	0
CDC21	YOR074C	1	915	-1	39.67	1	0	0	0	0	1	0	0	1	0
CDC23	YHR166C	1	1881	-1	38.6	0	1	0	0	0	1	0	0	0	0
CDC24	YAL041W	1	2565	1	38.91	0	1	0	0	0	1	0	0	1	0
CDC25	YLR310C	1	4770	-1	37.02	0	1	0	0	1	1	0	0	1	0
CDC27	YBL084C	1	2277	-1	37.15	0	1	0	0	0	1	0	0	1	0
CDC28	YBR160W	1	897	1	41.14	1	0	0	0	0	1	0	1	1	1
CDC3	YLR314C	1	1563	-1	38.07	0	1	0	0	1	0	0	0	0	0
CDC31	YOR257W	1	486	1	37.65	0	0	0	0	1	1	0	0	1	0
CDC33	YOL139C	1	642	-1	39.88	0	0	0	0	0	1	0	0	1	1
CDC34	YDR054C	1	888	-1	41.22	1	1	0	0	0	1	0	0	1	0
CDC36	YDL165W	1	576	1	41.49	0	0	0	0	0	1	0	0	1	0
CDC37	YDR168W	1	1521	1	35.7	0	0	0	0	1	0	0	0	1	0
CDC39	YCR093W	1	6327	1	36.43	0	1	0	0	1	1	0	0	1	0
CDC4	YFL009W	1	2340	1	39.66	0	1	0	0	0	1	0	0	0	0
CDC42	YLR229C	1	576	-1	42.19	0	0	0	0	0	0	0	0	0	0
CDC43	YGL155W	1	1131	1	39.52	1	1	0	0	0	1	0	0	1	0
CDC45	YLR103C	1	1953	-1	38.35	0	1	0	0	0	1	0	0	0	0
CDC48	YDL126C	1	2508	-1	41.83	0	1	0	0	0	1	1	1	1	0
CDC5	YMR001C	1	2118	-1	36.92	1	1	0	0	0	1	0	0	0	0
CDC53	YDL132W	1	2448	1	37.62	0	0	0	0	0	1	0	0	1	0
CDC6	YJL194W	1	1542	1	40.6	0	1	0	0	0	1	0	0	1	0
CDC60	YPL160W	1	3273	1	39.38	1	1	0	0	0	0	0	0	1	0
CDC7	YDL017W	1	1524	1	38.52	1	1	0	0	0	1	0	0	1	0
CDC8	YJR057W	1	651	1	38.1	1	0	0	0	0	1	0	0	1	0
CDC9	YDL164C	1	2268	-1	39.99	1	1	0	0	0	1	1	0	0	0
CDS1	YBR029C	1	1374	-1	38.5	1	0	1	0	0	0	1	1	0	0
CEF1	YMR213W	1	1773	1	42.24	0	1	0	0	1	1	0	0	1	0
CEG1	YGL130W	1	1380	1	40.07	1	0	0	0	0	1	0	0	1	0
CEP3	YMR168C	1	1827	-1	36.95	0	0	0	0	1	1	0	0	0	0
CET1	YPL228W	1	1650	1	36.85	1	1	0	0	1	1	0	0	0	0
CFD1	YIL003W	1	882	1	41.72	0	1	0	0	0	0	0	0	1	0
CFT1	YDR301W	1	4074	1	37.41	0	1	0	0	0	1	1	0	0	0
CFT2	YLR115W	1	2580	1	37.67	0	1	0	0	0	1	0	0	0	0
CHS2	YBR038W	1	2892	1	40.32	1	1	1	0	0	0	0	0	0	0
CIA1	YDR267C	1	993	-1	41.99	0	0	0	0	0	1	0	0	1	0
CIA2	YHR122W	1	696	1	41.38	0	0	0	0	1	1	0	0	1	0
CKS1	YBR135W	1	453	1	47.9	0	1	0	0	1	1	0	0	1	0
CLF1	YLR117C	1	2064	-1	37.35	0	1	0	0	0	1	0	0	0	0
CLP1	YOR250C	1	1338	-1	39.91	0	1	0	0	1	1	0	0	0	0
CMD1	YBR109C	1	444	-1	38.96	0	0	0	0	0	1	0	0	1	0
CNS1	YBR155W	1	1158	1	38.86	0	1	0	0	1	0	0	0	1	0
COF1	YLL050C	1	432	-1	38.13	0	0	0	0	0	1	0	0	1	0
COG2	YGR120C	1	789	-1	35.99	0	1	0	0	1	0	0	0	0	0
COG3	YER157W	1	2406	1	36.03	0	1	0	0	1	0	0	0	0	0
