HGNC.symbol	Protein.Coding	Immunity.Gene	Pseudogene	TM.Domain	SEG	Coiled.coil	Signal.peptide	Avg.transcript	Avg.GC.content	Total.exons	Constitutive.exons	Mouse.homologs.70	Nucleus	Cytoplasm	Mitochondrion	Golgi	ER	Cell.surface
A2ML1	1	0	0	0	1	0	1	2378.66666666667	0.4425	53	0	0	0	0	0	0	0	0
AADAC	1	0	0	1	0	0	0	1180.5	0.3533	7	2	1	0	0	0	0	1	0
AANAT	1	0	0	0	0	0	0	1048	0.5301	13	0	0	0	1	0	0	0	0
AASDHPPT	1	0	0	0	1	0	0	1351	0.3657	13	0	1	0	1	0	0	0	0
AATF	1	0	0	0	1	0	0	973	0.4051	56	0	1	1	1	0	1	0	0
ABAT	1	0	0	0	0	0	1	2091	0.4735	49	0	1	0	0	1	0	0	0
ABCA5	1	0	0	1	1	0	0	2891.36363636364	0.3461	69	0	1	0	0	0	0	0	0
ABCA6	1	0	0	1	1	1	0	3405.5	0.363	52	0	0	0	0	0	0	0	0
ABCA7	1	0	0	1	1	0	0	2510.4	0.6049	83	0	1	0	1	0	1	0	1
ABCB1	1	0	0	1	1	1	0	3602	0.3704	51	0	0	0	0	0	0	0	1
ABCB11	1	0	0	1	1	0	0	3212.33333333333	0.377533333333333	43	0	1	0	0	0	0	0	0
ABCB5	1	0	0	1	1	1	0	2930.2	0.3773	38	0	1	0	0	0	0	0	0
ABCB7	1	0	0	1	1	1	0	1802.57142857143	0.3598	37	0	1	0	0	1	0	0	0
ABCB9	1	0	0	1	1	1	0	2360.66666666667	0.5247	51	0	1	0	0	0	0	1	0
ABCC11	1	0	0	1	1	0	0	3819	0.4562	44	0	0	0	0	0	0	0	0
ABCC3	1	0	0	1	1	0	0	2458.88888888889	0.5195	65	0	1	0	0	0	0	0	0
ABCC5	1	0	0	1	1	1	0	2799.81818181818	0.447	54	0	1	0	0	0	0	0	0
ABCC8	1	0	0	1	1	1	0	2097.625	0.5	80	0	1	0	0	0	0	0	0
ABCD2	1	0	0	0	1	1	0	6238	0.3495	10	10	1	0	1	0	0	0	0
ABCD3	1	0	0	1	1	0	0	2211	0.3704	33	0	1	0	1	1	0	0	0
ABHD10	1	0	0	0	1	0	1	1405	0.3584	14	0	1	0	1	1	0	0	0
ABHD11	1	0	0	0	1	0	0	1041.25	0.5995	33	0	0	0	0	1	0	0	0
ABHD13	1	0	0	1	1	0	0	5338	0.3543	2	2	1	0	0	0	0	0	0
ABHD14A	1	0	0	1	1	0	0	855.4	0.5478	18	0	1	0	1	0	0	0	0
ABHD16A	1	0	0	1	1	0	0	1576.33333333333	0.503476923076923	297	0	1	0	0	0	0	0	0
ABHD16B	1	0	0	0	1	0	0	2094	0.6667	1	1	1	0	0	0	0	0	0
ABHD2	1	0	0	0	1	0	0	3621.66666666667	0.4401	34	0	1	0	0	0	0	0	0
ABL2	1	0	0	0	1	0	0	4733	0.4131	29	0	1	0	1	0	0	0	0
ABLIM1	1	0	0	0	1	0	0	4128.5	0.4259	49	0	1	0	1	0	0	0	0
