Gene	Ensembl.Gene.ID	Essential	GC.content	Strand	Transcript.length	Transmembrane.length.discretized	Coiled.coil.discretized
AAR2	YBL074C	1	38.01	-1	1068	0	0
ABD1	YBR236C	1	38.75	-1	1311	0	0
ABF1	YKL112W	1	39.62	1	2196	0	1
ACC1	YNR016C	1	40.84	-1	6702	0	1
ACP1	YKL192C	1	44.71	-1	378	0	0
ACS2	YLR153C	1	42.25	-1	2052	0	0
ACT1	YFL039C	1	41.27	-1	1128	0	0
ADE13	YLR359W	1	39.54	1	1449	0	1
AFG2	YLR397C	1	42.04	-1	2343	0	0
ALA1	YOR335C	1	39.9	-1	2877	0	0
ALG1	YBR110W	1	36.3	1	1350	1	0
ALG13	YGL047W	1	42.53	1	609	0	0
ALG14	YBR070C	1	39.36	-1	714	1	0
ALG2	YGL065C	1	36.04	-1	1512	1	0
ALG7	YBR243C	1	40.68	-1	1347	1	0
ALR1	YOL130W	1	41.78	1	2580	1	0
AME1	YBR211C	1	36.72	-1	975	0	1
AOS1	YPR180W	1	37.64	1	1044	0	0
APC1	YNL172W	1	38.63	1	5247	0	1
APC11	YDL008W	1	42.97	1	498	0	0
APC2	YLR127C	1	34.74	-1	2562	0	0
APC4	YDR118W	1	35.43	1	1959	0	0
APC5	YOR249C	1	34.6	-1	2058	0	0
ARB1	YER036C	1	40.92	-1	1833	0	1
ARC15	YIL062C	1	44.95	-1	465	0	0
ARC19	YKL013C	1	39.15	-1	516	0	0
ARC35	YNR035C	1	41.98	-1	1029	0	1
ARC40	YBR234C	1	42.08	-1	1155	0	0
ARH1	YDR376W	1	38.6	1	1482	0	0
ARP2	YDL029W	1	41.03	1	1176	0	0
ARP3	YJR065C	1	42.15	-1	1350	0	0
ARP4	YJL081C	1	40.14	-1	1470	0	0
ARP7	YPR034W	1	44.7	1	1434	0	1
ARP9	YMR033W	1	35.1	1	1404	0	0
ASA1	YPR085C	1	37.61	-1	1332	0	0
ASK1	YKL052C	1	46.3	-1	879	0	0
ATM1	YMR301C	1	41.29	-1	2073	1	1
ATP16	YDL004W	1	39.75	1	483	0	0
AUR1	YKL004W	1	40.71	1	1206	1	0
AVO1	YOL078W	1	38.32	1	3531	0	0
BBP1	YPL255W	1	40.24	1	1158	0	1
BCD1	YHR040W	1	47.32	1	1101	0	0
BCP1	YDR361C	1	36.97	-1	852	0	0
BDP1	YNL039W	1	39.44	1	1785	0	1
BET1	YIL004C	1	38.39	-1	429	1	0
BET2	YPR176C	1	40.08	-1	978	0	0
BET3	YKR068C	1	38.66	-1	582	0	0
BET4	YJL031C	1	34.64	-1	984	0	0
BET5	YML077W	1	37.08	1	480	0	0
BFR2	YDR299W	1	37.13	1	1605	0	1
BIG1	YHR101C	1	36.53	-1	1008	1	0
BMS1	YPL217C	1	39.27	-1	3552	0	1
BOS1	YLR078C	1	38.71	-1	735	1	1
BPL1	YDL141W	1	40.23	1	2073	0	0
BRF1	YGR246C	1	40.03	-1	1791	0	1
BRL1	YHR036W	1	40.54	1	1416	1	0
BRN1	YBL097W	1	37.79	1	2265	0	1
BRR2	YER172C	1	37.14	-1	6492	0	1
BRR6	YGL247W	1	37.88	1	594	1	0
BRX1	YOL077C	1	37.1	-1	876	0	1
BUR6	YER159C	1	43.59	-1	429	0	0
CAB1	YDR531W	1	37.59	1	1104	0	0
CAB2	YIL083C	1	38.8	-1	1098	0	0
CAB3	YKL088W	1	40.91	1	1716	0	1
CAB4	YGR277C	1	42.37	-1	918	0	0
CAB5	YDR196C	1	38.15	-1	726	0	0
CAK1	YFL029C	1	41.46	-1	1107	0	0
CBF2	YGR140W	1	36.15	1	2871	0	0
CBF5	YLR175W	1	39.74	1	1452	0	1
CBK1	YNL161W	1	40.16	1	2271	0	1
CCA1	YER168C	1	37.9	-1	1641	0	0
CCL1	YPR025C	1	36.55	-1	1182	0	1
CCT2	YIL142W	1	43.62	1	1584	0	1
CCT3	YJL014W	1	40.12	1	1605	0	0
CCT4	YDL143W	1	41.97	1	1587	0	0
CCT5	YJR064W	1	40.14	1	1689	0	0
CCT6	YDR188W	1	48.02	1	1641	0	0
CCT7	YJL111W	1	38.96	1	1653	0	0
CCT8	YJL008C	1	40.77	-1	1707	0	0
CDC1	YDR182W	1	37.87	1	1476	1	0
CDC11	YJR076C	1	39.82	-1	1248	0	1
CDC12	YHR107C	1	41.5	-1	1224	0	1
CDC123	YLR215C	1	39.61	-1	1083	0	0
CDC13	YDL220C	1	43.93	-1	2775	0	0
CDC14	YFR028C	1	42.27	-1	1656	0	1
CDC15	YAR019C	1	40.1	-1	2925	0	0
CDC16	YKL022C	1	38.68	-1	2523	0	0
CDC19	YAL038W	1	46.17	1	1503	0	0
CDC20	YGL116W	1	40.37	1	1833	0	0
CDC21	YOR074C	1	39.67	-1	915	0	0
