ORF,mitochondria,cytoplasm,er,nucleus,vacuole,other,CAI,NC,GC,L_aa,Gravy,DovEXPR,BLAST_hits_in_yeast,intxn_partners,chromosome,chr_position,intron,close_stop_ratio,rare_aa_ratio,tm_helix,in_how_many_of_5_proks,in_how_many_of_6_close_yeast,SGD_ess
YAL005C,0,1,0,0,0,0,0.709,28.36,0.44,642,-0.426012,13.4,31,13,1,0.614392514,0,0.020217729,0.026438569,0,1,6,0
YAL056W,1,1,0,0,0,0,0.113,53.69,0.395,880,-0.459091,0.8,0,2,1,0.170545128,0,0.049943246,0.077185017,0,0,4,0
YBL003C,0,0,0,1,0,0,0.544,31.6,0.414,132,-0.315909,24.5,1,163,2,0.289934439,0,0.022556391,0.030075188,0,0,6,0
YBL017C,0,0,0,0,0,1,0.163,49.93,0.39,1579,-0.477708,1.3,18,21,2,0.235566121,0,0.062658228,0.067088608,1,0,3,0
YBL032W,0,1,0,0,0,0,0.191,51.5,0.463,381,-0.397375,1.3,0,28,2,0.196951567,0,0.020942408,0.034031414,0,0,4,0
YBL039C,0,1,0,0,0,0,0.309,42.26,0.402,579,-0.239378,6.6,2,84,2,0.179173548,0,0.044827586,0.087931034,0,0,5,0
YBL046W,0,0,0,1,0,0,0.129,57.09,0.408,441,-1.035601,0.5,2,14,2,0.162812262,0,0.038461538,0.07239819,0,0,3,0
YBL059W,1,0,0,0,0,0,0.089,56.31,0.392,193,-0.310881,0.4,0,2,2,0.135964454,1,0.030927835,0.097938144,2,0,2,0
YBL063W,0,0,0,0,0,1,0.143,54.49,0.362,1111,-0.625473,0.3,0,2,2,0.125255338,0,0.035071942,0.057553957,0,0,3,0
YBL086C,0,0,0,0,0,1,0.115,49.42,0.412,466,-0.850429,0.3,0,2,2,0.076984378,0,0.034261242,0.059957173,0,0,4,0
YBL087C,0,0,0,1,0,0,0.624,31.24,0.472,137,-0.077372,54.2,1,88,2,0.074692027,1,0.028985507,0.072463768,0,0,6,0
YBL093C,0,0,0,1,0,0,0.104,49.28,0.444,220,-1.000909,1.7,0,47,2,0.055236559,0,0.045248869,0.054298643,0,0,4,0
YBL097W,0,0,0,1,0,0,0.147,51.21,0.378,754,-0.890716,1.2,0,1,2,0.050210358,0,0.025165563,0.056953642,0,0,3,1
YBL098W,1,0,0,0,0,0,0.165,51.45,0.386,460,-0.282391,0.4,0,1,2,0.048136911,0,0.052060738,0.084598698,0,0,4,0
YBR017C,0,1,0,1,0,0,0.144,51.67,0.39,918,-0.030719,0.8,42,62,2,0.336553775,0,0.040261153,0.081610446,0,0,3,0
YBR028C,0,1,0,0,0,0,0.149,51.07,0.382,525,-0.567048,0.6,0,21,2,0.363977131,0,0.057034221,0.060836502,0,0,4,0
YBR039W,1,0,0,0,0,0,0.337,40.8,0.391,311,-0.309646,5.2,0,236,2,0.388048046,0,0.03525641,0.054487179,0,0,5,0
YBR042C,0,0,0,0,0,1,0.133,52.18,0.371,397,-0.007809,2,0,2,2,0.395468671,0,0.055276382,0.065326633,4,0,4,0
YBR048W,0,1,0,0,0,0,0.733,30.11,0.44,156,-0.457051,15,1,57,2,0.40926705,1,0.050955414,0.063694268,0,0,3,0
YBR056W,0,1,0,0,0,0,0.202,48.82,0.384,501,-0.615968,0.8,0,1,2,0.427773111,0,0.049800797,0.099601594,0,0,3,0
YBR061C,0,1,0,0,0,0,0.143,49.29,0.404,310,-0.38871,1.1,0,19,2,0.44971278,0,0.054662379,0.07073955,0,0,4,0
YBR068C,0,0,0,0,1,1,0.157,50.32,0.403,609,0.239409,3.1,4,2,2,0.461975136,0,0.063934426,0.07704918,12,0,4,0
YBR069C,0,0,0,0,0,1,0.151,51.3,0.418,619,0.245234,4.4,3,11,2,0.465348483,0,0.061290323,0.080645161,12,0,4,0
YBR073W,0,0,0,1,0,0,0.135,51.13,0.379,924,-0.423809,2.2,0,2,2,0.471225707,0,0.044324324,0.062702703,0,0,3,0
YBR095C,0,0,0,1,0,0,0.146,48.66,0.378,430,-0.626279,0.7,0,29,2,0.535769407,0,0.020881671,0.030162413,0,0,4,0
YBR123C,0,0,0,1,0,0,0.135,50.34,0.386,649,-0.546071,0.8,0,9,2,0.598479473,0,0.036923077,0.052307692,0,0,4,1
YBR135W,0,1,0,1,0,0,0.144,60.46,0.48,150,-0.988,1.2,104,26,2,0.620816367,0,0.066225166,0.105960265,0,0,5,1
YBR137W,0,1,0,0,0,0,0.157,50.78,0.393,179,-0.381006,1.8,0,7,2,0.630888446,0,0.061111111,0.072222222,0,0,4,0
YBR185C,1,0,0,0,0,0,0.136,54.99,0.376,278,-0.201799,1.3,0,1,2,0.73777792,0,0.032258065,0.05734767,0,0,4,0
YBR196C,0,1,0,0,0,0,0.681,30.19,0.433,554,-0.225632,15.4,0,12,2,0.75492259,0,0.028828829,0.066666667,0,0,6,1
YBR200W,0,0,0,0,0,1,0.156,51.41,0.384,551,-0.56588,0.7,0,17,2,0.76349677,0,0.047101449,0.039855072,0,0,4,0
YBR221C,1,0,0,0,0,0,0.343,40.73,0.433,366,-0.068579,8.5,0,68,2,0.819306416,0,0.035422343,0.038147139,0,0,5,0
YBR230C,1,0,0,0,0,0,0.177,53.26,0.448,134,-0.224627,1.8,0,2,2,0.836273995,1,0.088888889,0.088888889,0,0,3,0
